audienceType,name,categorySummary,summary
"Location Audience","Advance America","Points of interest > Finance > Personal Finance > Advance America","People in this audience have recently visited an Advance America location."
"Location Audience","Adventist Health System","Points of interest > Health > Medical > Adventist Health System","People in this audience have recently visited an Adventist Health System location."
"Crafted Audience","Advertising Professionals","Lifestyle > Occupation > Advertising Professionals","People who read advertising industry news."
"Location Audience","Aeropostale","Points of interest > Retail > Apparel > Aeropostale","People in this audience have recently visited an Aeropostale location."
"Crafted Audience","Affordable Hotel Bookers","Consumer > Travel > Affordable Hotel Bookers","Consumers comparing and booking hotel accommodations at affordable level US hotel chains."
"Crafted Audience","Africa Trip Planners","Consumer > Travel > Africa Trip Planners","People researching attractions and accommodations in Africa. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Content Cluster","African American Celebrity Gossip","Content Clusters > African American Celebrity Gossip","People in this audience are interested in African-American celebrity gossip."
"Content Cluster","African-American Hair","Content Clusters > African-American Hair","People in this audience are interested in content about hair products targeted to African-Americans."
"Crafted Audience","Aftermarket Accessories Shoppers","Consumer > Auto > Aftermarket Accessories Shoppers","Consumers shopping for car maintenance products."
"Content Cluster","Aid Groups","Content Clusters > Aid Groups","People in this audience are interested in aid groups, humanitarian projects, and poverty."
"Location Audience","Airports","Points of interest > Travel > Airports > Airports","People in this audience have recently visited an Airports location."
"Content Cluster","Airsoft & Paintball Equipment","Content Clusters > Airsoft & Paintball Equipment","People in this audience are interested in retail information related to airsoft, guns, paintball, rifles, and accessories."
"Crafted Audience","Airstream Enthusiasts","Consumer > Auto > Airstream Enthusiasts","People researching airstreams and vintage RVs. These consumers are more likely to spend money on a new or used airstream."
"Content Cluster","Alabama News","Content Clusters > Alabama News","People in this audience are interested in news related to the State of Alabama, including Birmingham."
"Crafted Audience","Alabama Trip Planners","Consumer > Travel > Alabama Trip Planners","People researching attractions and accommodations in Alabama. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Content Cluster","Alaska Cluster","Content Clusters > Alaska Cluster","People in this audience are interested in a variety of content related to the State of Alaska."
"Crafted Audience","Alaskan Cruise Planners","Consumer > Travel > Alaskan Cruise Planners","People researching cruise accommodations for trips to Alaska. These consumers are more likely to spend money on travel and local attractions."
"Content Cluster","Alberta Canada Cluster","Content Clusters > Alberta Canada Cluster","People in this audience are interested in a variety of content about Alberta Canada, including Calgary and Edmonton."
"Location Audience","Albertsons","Points of interest > Retail > Grocery > Albertsons","People in this audience have recently visited an Albertsons location."
"Location Audience","Aldo","Points of interest > Retail > Footwear > Aldo","People in this audience have recently visited an Aldo location."
"Location Audience","Alex and Ani","Points of interest > Retail > Jewelry > Alex and Ani","People in this audience have recently visited an Alex and Ani location."
"Content Cluster","All-Terrain Vehicles","Content Clusters > All-Terrain Vehicles","People in this audience are interested in All-Terrain Vehicles (ATVs)."
"Location Audience","Allen Edmonds","Points of interest > Retail > Footwear > Allen Edmonds","People in this audience have recently visited an Allen Edmonds location."
"Location Audience","Alon USA","Points of interest > Auto > Gas Stations > Alon USA","People in this audience have recently visited an Alon USA location."
"Content Cluster","Alt Religion","Content Clusters > Alt Religion","People in this audience are interested in alternative religions and faith traditions."
"Crafted Audience","Alternative Medicine Enthusiasts","Consumer > Healthcare > Alternative Medicine Enthusiasts","People researching products and methods of alternative medicine."
"Content Cluster","Alternative Movie Streaming","Content Clusters > Alternative Movie Streaming","People in this audience are interested in alternative sites for movie streaming."
"Content Cluster","Alternative Streaming Services","Content Clusters > Alternative Streaming Services","People in this audience are interested in alternative streaming services."
"Crafted Audience","Alzheimer and Dementia Researchers","Consumer > Healthcare > Alzheimer and Dementia Researchers","People researching information and care for alzheimer and dementia patients."
"Content Cluster","Amateur Radios","Content Clusters > Amateur Radios","People in this audience are interested in amateur radios, two-way radios, and scanners."
"Location Audience","American Academy of Urgent Care Medicine","Points of interest > Health > Medical > American Academy of Urgent Care Medicine","People in this audience have recently visited an American Academy of Urgent Care Medicine location."
"Location Audience","American Apparel","Points of interest > Retail > Apparel > American Apparel","People in this audience have recently visited an American Apparel location."
"Location Audience","American Eagle Outfitters","Points of interest > Retail > Apparel > American Eagle Outfitters","People in this audience have recently visited an American Eagle Outfitters location."
"Location Audience","American Mattress","Points of interest > Retail > Home > American Mattress","People in this audience have recently visited an American Mattress location."
"Location Audience","Americas Best","Points of interest > Retail > Convenience/Drug > Americas Best","People in this audience have recently visited an Americas Best location."
"Location Audience","Americas Mattress","Points of interest > Retail > Home > Americas Mattress","People in this audience have recently visited an Americas Mattress location."
"Location Audience","Ameriprise Financial","Points of interest > Finance > Personal Finance > Ameriprise Financial","People in this audience have recently visited an Ameriprise Financial location."
"Location Audience","Amscot","Points of interest > Finance > Personal Finance > Amscot","People in this audience have recently visited an Amscot location."
"Location Audience","Amusement Parks","Points of interest > Entertainment > Families > Amusement Parks","People in this audience have recently visited an Amusement Parks location."
"Content Cluster","Ancestry & Memorial Researchers","Content Clusters > Ancestry & Memorial Researchers","People in this audience are interested in ancestry, including genealogy and historical records."
"Crafted Audience","Ancestry Researchers","Consumer > General Consumer > Ancestry Researchers","People researching products and services to investigate their ancestry."
"Crafted Audience","Android Fans","Consumer > Electronics > Android Fans","Readers of Android news and product reviews."
"Crafted Audience","Anesthesiologists","Lifestyle > Occupation > Anesthesiologists","Professionals reading industry news and researching products and services for anesthesiology."
"Crafted Audience","Animal Humane Society Helpers","Lifestyle > Activities > Animal Humane Society Helpers","People supporting Animal Humane Society through volunteer service and donations."
"Crafted Audience","Animal Rights Researchers","Lifestyle > Activities > Animal Rights Researchers","People researching and supporting animal rights organizations."
"Content Cluster","Anime","Content Clusters > Anime","People in this audience are interested in anime and Asian literature."
"Crafted Audience","Anime Fans","Consumer > Media > Anime Fans","People reading fan sites, promotional material, and news on the latest anime."
"Location Audience","Ann Taylor","Points of interest > Retail > Apparel > Ann Taylor","People in this audience have recently visited an Ann Taylor location."
"Location Audience","Anthropologie","Points of interest > Retail > Apparel > Anthropologie","People in this audience have recently visited an Anthropologie location."
"Content Cluster","Antiques & Auctions","Content Clusters > Antiques & Auctions","People in this audience are interested in auctions, pawning, classified sales, and antiques."
"Crafted Audience","Antiquing Enthusiasts","Lifestyle > Activities > Antiquing Enthusiasts","People researching antiques and shopping for products."
"Location Audience","Anytime Fitness","Points of interest > Health > Fitness Clubs > Anytime Fitness","People in this audience have recently visited an Anytime Fitness location."
"Content Cluster","Apartment & Community Real Estate Researchers","Content Clusters > Apartment & Community Real Estate Researchers","People in this audience are searching for a new home or apartment."
"Crafted Audience","Apartment Furniture Shoppers","Consumer > Retail > Home > Apartment Furniture Shoppers","Consumers in-market for apartment furniture."
"Crafted Audience","Apartment Hunters","Lifestyle > Lifestage > Moving > Apartment Hunters","People reading real estate rental listings."
"Content Cluster","Apartment Hunting","Content Clusters > Apartment Hunting","People in this audience are interested in apartment listings, condos, and rentals."
"Location Audience","Apple","Points of interest > Retail > Electronics > Apple","People in this audience have recently visited an Apple location."
"Content Cluster","Apple Blogs & Hacks","Content Clusters > Apple Blogs & Hacks","People in this audience are interested in blogs, hacks, fan sites, and repairs related to the Apple computer platform."
"Crafted Audience","Apple Fans","Consumer > Electronics > Apple Fans","Readers of Apple news and product reviews."
"Crafted Audience","Apple Picking Enthusiasts","Lifestyle > Activities > Apple Picking Enthusiasts","People researching apple orchards and planning a visit to pick apples."
"Location Audience","Applebee's","Points of interest > Restaurants > Casual Restaurants > Applebee's","People in this audience have recently visited an Applebee's location."
"Content Cluster","Appliances & Reviews","Content Clusters > Appliances & Reviews","People in this audience are interested in appliances and related reviews."
"Crafted Audience","Aquarium Trip Planners","Lifestyle > Activities > Aquarium Trip Planners","People researching aquariums and planning a visit."
"Content Cluster","Arabic News","Content Clusters > Arabic News","People in this audience are interested in Arabic news."
"Location Audience","Arby's","Points of interest > Restaurants > QSR > Arby's","People in this audience have recently visited an Arby's location."
"Crafted Audience","Archery Enthusiasts","Lifestyle > Activities > Sports > Archery Enthusiasts","People researching archery techniques and purchasing equipment."
"Crafted Audience","Architects","Lifestyle > Occupation > Architects","Professionals reading industry news and researching architecture products and services."
"Crafted Audience","Architecture Enthusiasts","Lifestyle > Activities > Architecture Enthusiasts","People reading industry news and following architecture trends."
"Location Audience","Arhaus","Points of interest > Retail > Home > Arhaus","People in this audience have recently visited an Arhaus location."
"Crafted Audience","Arizona Cardinals Fans","Consumer > Media > Sports Fans > Arizona Cardinals Fans","People reading news about the Arizona Cardinals and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Arizona Diamondbacks Fans","Consumer > Media > Sports Fans > Arizona Diamondbacks Fans","Fans of Arizona Diamondbacks"
"Crafted Audience","Arizona Trip Planners","Consumer > Travel > Arizona Trip Planners","People researching attractions and accommodations in Arizona. These consumers are more likely to spend money on travel and guided tours."
"Crafted Audience","Arizona Wildcats Fans","Consumer > Media > Sports Fans > Arizona Wildcats Fans","Fans of Arizona Wildcats"
"Content Cluster","Arkansas News","Content Clusters > Arkansas News","People in this audience are interested in news related to the State of Arkansas, including Fayetteville."
"Crafted Audience","Arkansas Razorbacks Fans","Consumer > Media > Sports Fans > Arkansas Razorbacks Fans","Fans of Arkansas Razorbacks"
"Location Audience","Armani","Points of interest > Retail > Apparel > Armani","People in this audience have recently visited an Armani location."
"Crafted Audience","Arsenal Fans","Consumer > Media > Sports Fans > Arsenal Fans","People reading news about the Arsenal football club and watching games. These consumers are more likely to spend money on team gear."
"Content Cluster","Art News & Products","Content Clusters > Art News & Products","People in this audience are interested in news and products about art."
"Content Cluster","Arthritis & Bones","Content Clusters > Arthritis & Bones","People in this audience are interested in content about arthritis, bones, and related treatments."
"Crafted Audience","Arthritis Sufferers","Consumer > Healthcare > Pharma > Arthritis Sufferers","People researching arthritis trends and treatment options."
"Content Cluster","Arts & Crafts","Content Clusters > Arts & Crafts","People in this audience are interested in a variety of content related to arts and crafts."
"Content Cluster","As Seen On TV Products","Content Clusters > As Seen On TV Products","People in this audience are interested in 'As Seen On TV' products."
"Crafted Audience","As Seen on TV Shoppers","Consumer > General Consumer > As Seen on TV Shoppers","Consumers shopping for items advertising on television with a direct response mail-order or toll-free telephone number."
"Crafted Audience","Asheville Trip Planners","Consumer > Travel > Asheville Trip Planners","People researching attractions and accommodations in Asheville. These consumers are more likely to spend money on flights, hotels, lodging and local attractions."
"Location Audience","Ashley Furniture Homestore","Points of interest > Retail > Home > Ashley Furniture Homestore","People in this audience have recently visited an Ashley Furniture Homestore location."
"Content Cluster","Asia Travel","Content Clusters > Asia Travel","People in this audience are interested in travel to Asia, including China, Japan, and Korea."
"Crafted Audience","Asian Food Enthusiasts","Consumer > CPG > Food > Asian Food Enthusiasts","People reading about Asian food and researching recipes."
"Crafted Audience","Aspen Skiers and Snowboarders","Consumer > Travel > Aspen Skiers and Snowboarders","Consumers reading reviews of ski resorts and snow reports in Aspen."
"Crafted Audience","Aspen Trip Planners","Consumer > Travel > Aspen Trip Planners","People researching attractions and accommodations in Aspen. These consumers are more likely to spend money on travel and local attractions."
"Content Cluster","Assorted Topics (Academic Press, World Facts, Nature Conservation, Liberalism)","Content Clusters > Assorted Topics (Academic Press, World Facts, Nature Conservation, Liberalism)","People in this audience are interested in academic press, world facts, nature conservation, and liberalism."
"Content Cluster","Assorted Topics (Allergies, Chinese Goods, Trade Shows, Apparel, Product Reviews)","Content Clusters > Assorted Topics (Allergies, Chinese Goods, Trade Shows, Apparel, Product Reviews)","People in this audience are interested in allergies, Chinese goods, trade shows, apparel, and product reviews."
"Content Cluster","Assorted Topics (Animals, Clothing, Events, Education)","Content Clusters > Assorted Topics (Animals, Clothing, Events, Education)","People in this audience are interested in animals, clothing, events, and education."
"Content Cluster","Assorted Topics (Apartment Rentals, Christian Dating, Ticket Sales)","Content Clusters > Assorted Topics (Apartment Rentals, Christian Dating, Ticket Sales)","People in this audience are interested in apartment rentals, Christian dating, and ticket sales."
"Content Cluster","Assorted Topics (Apple News, Origami, Swimmer Rankings, Coding)","Content Clusters > Assorted Topics (Apple News, Origami, Swimmer Rankings, Coding)","People in this audience are interested in Apple news, origami, swimmer rankings, and coding."
"Content Cluster","Assorted Topics (Art, Life Hacks, Banking, Humor)","Content Clusters > Assorted Topics (Art, Life Hacks, Banking, Humor)","People in this audience are interested in art, life hacks, banking, and humor."
"Content Cluster","Assorted Topics (Art, Photography, Fashion, Paranormal Activity)","Content Clusters > Assorted Topics (Art, Photography, Fashion, Paranormal Activity)","People in this audience are interested in art, photography, fashion, and paranormal activity."
"Content Cluster","Assorted Topics (Auto, Hobbies, Viral Media)","Content Clusters > Assorted Topics (Auto, Hobbies, Viral Media)","People in this audience are interested in Auto, Hobbies, Viral Media"
"Content Cluster","Assorted Topics (Boating, Entertainment, Gossip, Wellness)","Content Clusters > Assorted Topics (Boating, Entertainment, Gossip, Wellness)","People in this audience are interested in boating, entertainment, gossip, and wellness."
"Content Cluster","Assorted Topics (Business News, Cooking, Recipes)","Content Clusters > Assorted Topics (Business News, Cooking, Recipes)","People in this audience are interested in business news, cooking, and recipes."
"Content Cluster","Assorted Topics (Business Support ToolsForm Templates)","Content Clusters > Assorted Topics (Business Support ToolsForm Templates)","People in this audience are interested in business support tools and form templates."
"Content Cluster","Assorted Topics (Car News, Animals, Viral Media)","Content Clusters > Assorted Topics (Car News, Animals, Viral Media)","People in this audience are interested in car news, animals, healthy recipes, and migraine prevention."
"Content Cluster","Assorted Topics (Car Rental, Travel, Fashion, Blogs)","Content Clusters > Assorted Topics (Car Rental, Travel, Fashion, Blogs)","People in this audience are interested in car rental, travel, fashion, and blogs."
"Content Cluster","Assorted Topics (Children'S Activities, Outdoor Play, Viral Media)","Content Clusters > Assorted Topics (Children'S Activities, Outdoor Play, Viral Media)","People in this audience are interested in Children's Activities, Outdoor Play, Viral Media"
"Content Cluster","Assorted Topics (Class Reunion, Online Deals, Contest, Health, Lifestyle, Entertainment News)","Content Clusters > Assorted Topics (Class Reunion, Online Deals, Contest, Health, Lifestyle, Entertainment News)","People in this audience are interested in class reunion, online deals, contest, health, lifestyle, and entertainment news."
"Content Cluster","Assorted Topics (Clothing, Asian Food, Japanese Goods, Leggings)","Content Clusters > Assorted Topics (Clothing, Asian Food, Japanese Goods, Leggings)","People in this audience are interested in clothing, Asian food, Japanese goods, and leggings."
"Content Cluster","Assorted Topics (College Sports, Anime, Business, Social Media, Food)","Content Clusters > Assorted Topics (College Sports, Anime, Business, Social Media, Food)","People in this audience are interested in college sports, anime, business, social media, and food."
"Content Cluster","Assorted Topics (Comics, Architecture, Fine Spirits, Sports)","Content Clusters > Assorted Topics (Comics, Architecture, Fine Spirits, Sports)","People in this audience are interested in comics, architecture, fine spirits, and sports."
"Content Cluster","Assorted Topics (Conservative News, Politics, Viral Media)","Content Clusters > Assorted Topics (Conservative News, Politics, Viral Media)","People in this audience are interested in Conservative News, Politics, Viral Media"
"Content Cluster","Assorted Topics (Cooking, Games, Viral Media)","Content Clusters > Assorted Topics (Cooking, Games, Viral Media)","People in this audience are interested in a broad group of people visiting viral media sites."
"Content Cluster","Assorted Topics (Cooking, Recipes, Hollywood, Fantasy Sports, Coupons)","Content Clusters > Assorted Topics (Cooking, Recipes, Hollywood, Fantasy Sports, Coupons)","People in this audience are interested in cooking, recipes, Hollywood, fantasy sports, and coupons."
"Content Cluster","Assorted Topics (Coupons, Stain Removal, Seafood)","Content Clusters > Assorted Topics (Coupons, Stain Removal, Seafood)","People in this audience are interested in coupons, stain removal, and seafood."
"Content Cluster","Assorted Topics (Discount Shopping, Price Comparison, Custom Stamps, Lamination, Arcade Games, Paper Shredding)","Content Clusters > Assorted Topics (Discount Shopping, Price Comparison, Custom Stamps, Lamination, Arcade Games, Paper Shredding)","People in this audience are interested in discount shopping, price comparison, custom stamps, lamination, arcade games, and paper shredding."
"Content Cluster","Assorted Topics (Discount Stores, Sporting Goods, Viral Media)","Content Clusters > Assorted Topics (Discount Stores, Sporting Goods, Viral Media)","People in this audience are interested in discount stores, sporting goods, ethical fashion, and trampolines."
"Content Cluster","Assorted Topics (Elderly, Europe, Viral Media)","Content Clusters > Assorted Topics (Elderly, Europe, Viral Media)","People in this audience are interested in Elderly, Europe, Viral Media"
"Content Cluster","Assorted Topics (Email Hosting, Bitcoin, Online Texting, Online Calling)","Content Clusters > Assorted Topics (Email Hosting, Bitcoin, Online Texting, Online Calling)","People in this audience are interested in email hosting, bitcoin, online texting, and online calling."
"Content Cluster","Assorted Topics (Entertainment, Fashion, Viral Media)","Content Clusters > Assorted Topics (Entertainment, Fashion, Viral Media)","People in this audience are interested in fashion, progressiveness, fake news, and LGBTQ news."
"Content Cluster","Assorted Topics (Event Tracking, Trade Shows, Pharmaceutical Data, Data Science)","Content Clusters > Assorted Topics (Event Tracking, Trade Shows, Pharmaceutical Data, Data Science)","People in this audience are interested in event tracking, trade shows, pharmaceutical data, and data science."
"Content Cluster","Assorted Topics (Events, Tickets, Fitness)","Content Clusters > Assorted Topics (Events, Tickets, Fitness)","People in this audience are interested in events, tickets, fitness, retirement, promotion, and insurance."
"Content Cluster","Assorted Topics (Family, Household Wellness, The Beach)","Content Clusters > Assorted Topics (Family, Household Wellness, The Beach)","People in this audience are interested in family, household wellness, and the beach."
"Content Cluster","Assorted Topics (Food, Pharmacy, Commerce, Retail, Careers, Finance)","Content Clusters > Assorted Topics (Food, Pharmacy, Commerce, Retail, Careers, Finance)","People in this audience are interested in food, pharmacy, commerce, retail, careers, and finance."
"Content Cluster","Assorted Topics (Forum Hosting, Website Creation, Celebrity Photos, Humor)","Content Clusters > Assorted Topics (Forum Hosting, Website Creation, Celebrity Photos, Humor)","People in this audience are interested in forum hosting, website creation, celebrity photos, and humor."
"Content Cluster","Assorted Topics (Freebies, Gardens, Jewelry)","Content Clusters > Assorted Topics (Freebies, Gardens, Jewelry)","People in this audience are interested in freebies, gardens, and jewelry."
"Content Cluster","Assorted Topics (Games, Calendars, Journals, Pillows, Fitness)","Content Clusters > Assorted Topics (Games, Calendars, Journals, Pillows, Fitness)","People in this audience are interested in games, calendars, journals, pillows, and fitness."
"Content Cluster","Assorted Topics (Gossip, Auto, Viral Media)","Content Clusters > Assorted Topics (Gossip, Auto, Viral Media)","People in this audience are interested in gossip, auto news, travel, leisure, guns, hunting, and advertising."
"Content Cluster","Assorted Topics (Green Energy, Photoshop, Tattoos, India Fashion)","Content Clusters > Assorted Topics (Green Energy, Photoshop, Tattoos, India Fashion)","People in this audience are interested in green energy, Photoshop, tattoos, and India fashion."
"Content Cluster","Assorted Topics (Horoscopes, Online Arcade Games, Quizzes)","Content Clusters > Assorted Topics (Horoscopes, Online Arcade Games, Quizzes)","People in this audience are interested in horoscopes, online arcade games, and quizzes."
"Content Cluster","Assorted Topics (Humor, Diy Crafts, Stay-At-Home Parenting)","Content Clusters > Assorted Topics (Humor, Diy Crafts, Stay-At-Home Parenting)","People in this audience are interested in humor, DIY crafts, and stay-at-home parenting."
"Content Cluster","Assorted Topics (Humor, Gossip, Viral Media)","Content Clusters > Assorted Topics (Humor, Gossip, Viral Media)","People in this audience are interested in humor, pseudo news, religion, and self help."
"Content Cluster","Assorted Topics (Insurance, Cellphone, Healthy Living, Restaurant Menus, User Reviews)","Content Clusters > Assorted Topics (Insurance, Cellphone, Healthy Living, Restaurant Menus, User Reviews)","People in this audience are interested in insurance, cellphone, healthy living, restaurant menus, and user reviews."
"Content Cluster","Assorted Topics (Insurance, Travel, Viral Media)","Content Clusters > Assorted Topics (Insurance, Travel, Viral Media)","People in this audience are interested in a broad group of people visiting viral media sites."
"Content Cluster","Assorted Topics (Internet Slang, Hoaxes, Photography)","Content Clusters > Assorted Topics (Internet Slang, Hoaxes, Photography)","People in this audience are interested in internet slang, hoaxes, and photography."
"Content Cluster","Assorted Topics (Knives, Leather, Customized Gifts, Victorian Clothing)","Content Clusters > Assorted Topics (Knives, Leather, Customized Gifts, Victorian Clothing)","People in this audience are interested in knives, leather, customized gifts, and Victorian clothing."
"Content Cluster","Assorted Topics (Life Hacks, Housekeeping, Health Tips)","Content Clusters > Assorted Topics (Life Hacks, Housekeeping, Health Tips)","People in this audience are interested in life hacks, housekeeping, and health tips."
"Content Cluster","Assorted Topics (Malta Travel, New Zeeland Online Shopping, Academic Sales)","Content Clusters > Assorted Topics (Malta Travel, New Zeeland Online Shopping, Academic Sales)","People in this audience are interested in Malta Travel, New Zeeland online shopping, and academic sales."
"Content Cluster","Assorted Topics (Mobile Content Discovery, Airline Trade Organizations, Energy Trade Organizations)","Content Clusters > Assorted Topics (Mobile Content Discovery, Airline Trade Organizations, Energy Trade Organizations)","People in this audience are interested in mobile content discovery, airline trade organizations, and energy trade organizations."
"Content Cluster","Assorted Topics (Movie Trailers, Cooking, India Jobs, Lifestyle Content)","Content Clusters > Assorted Topics (Movie Trailers, Cooking, India Jobs, Lifestyle Content)","People in this audience are interested in movie trailers, cooking, India Jobs, and lifestyle content."
"Content Cluster","Assorted Topics (Music Charts, Entertainment, Australian Radio, Job Search)","Content Clusters > Assorted Topics (Music Charts, Entertainment, Australian Radio, Job Search)","People in this audience are interested in music charts, entertainment, Australian radio, and job search."
"Content Cluster","Assorted Topics (News, Entertainment, Viral Media)","Content Clusters > Assorted Topics (News, Entertainment, Viral Media)","People in this audience are interested in News, Entertainment, Viral Media"
"Content Cluster","Assorted Topics (Nhl, Hot Sauce, Video Games, Law)","Content Clusters > Assorted Topics (Nhl, Hot Sauce, Video Games, Law)","People in this audience are interested in NHL, hot sauce, video games, and law."
"Content Cluster","Assorted Topics (Pets, Surveys, Social Networking, Travel, Soap Operas, Motivation)","Content Clusters > Assorted Topics (Pets, Surveys, Social Networking, Travel, Soap Operas, Motivation)","People in this audience are interested in pets, surveys, social networking, travel, soap operas, and motivation."
"Content Cluster","Assorted Topics (Pharmacies, Telemarketing Jobs, Women's Clothing)","Content Clusters > Assorted Topics (Pharmacies, Telemarketing Jobs, Women's Clothing)","People in this audience are interested in pharmacies, telemarketing jobs, and women's clothing."
"Content Cluster","Assorted Topics (Phone Cards, Construction, Food Reviews)","Content Clusters > Assorted Topics (Phone Cards, Construction, Food Reviews)","People in this audience are interested in phone cards, construction, food reviews, women's clothing, and police reports."
"Content Cluster","Assorted Topics (Photography Resources, Stock Photos, Motorcycles)","Content Clusters > Assorted Topics (Photography Resources, Stock Photos, Motorcycles)","People in this audience are interested in photography resources, free radio, stock photos, and motorcycles."
"Content Cluster","Assorted Topics (Power Trains, Drones, Web Design)","Content Clusters > Assorted Topics (Power Trains, Drones, Web Design)","People in this audience are interested in power trains, drones, and web design."
"Content Cluster","Assorted Topics (Promotions, Prizes, Pharmaceuticals, Feminine Hygiene, Travel)","Content Clusters > Assorted Topics (Promotions, Prizes, Pharmaceuticals, Feminine Hygiene, Travel)","People in this audience are interested in promotions, prizes, pharmaceuticals, feminine hygiene, and travel."
"Content Cluster","Assorted Topics (Puzzles, Travel Tips, Tech Reviews, Cooking)","Content Clusters > Assorted Topics (Puzzles, Travel Tips, Tech Reviews, Cooking)","People in this audience are interested in puzzles, travel tips, tech reviews, and cooking."
"Content Cluster","Assorted Topics (Retail Products, Food Service, Package Delivery)","Content Clusters > Assorted Topics (Retail Products, Food Service, Package Delivery)","People in this audience are interested in retail products, food service, and package delivery."
"Content Cluster","Assorted Topics (Rubik Cube, Gawker, Viral Media)","Content Clusters > Assorted Topics (Rubik Cube, Gawker, Viral Media)","People in this audience are interested in gossip and Rubik Cubes."
"Content Cluster","Assorted Topics (Safari, Health, Wellness, Sports)","Content Clusters > Assorted Topics (Safari, Health, Wellness, Sports)","People in this audience are interested in people interested om safari, health, wellness, phone service, sports, and fighting."
"Content Cluster","Assorted Topics (Self Improvement, Easy Money, Digital Currency)","Content Clusters > Assorted Topics (Self Improvement, Easy Money, Digital Currency)","People in this audience are interested in self improvement, easy money, and digital currency."
"Content Cluster","Assorted Topics (Self Improvement, Scientific Improvement, Gulf Coast News, Somerset Pennsylvania)","Content Clusters > Assorted Topics (Self Improvement, Scientific Improvement, Gulf Coast News, Somerset Pennsylvania)","People in this audience are interested in self improvement, scientific improvement, gulf coast news, and Somerset Pennsylvania."
"Content Cluster","Assorted Topics (Shopping, Deals, Causes, Truth, Life Hacks)","Content Clusters > Assorted Topics (Shopping, Deals, Causes, Truth, Life Hacks)","People in this audience are interested in shopping, deals, causes, truth, and life hacks."
